Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
STAR          ,iStar Financial Inc.,14.41,1230677952,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star          
WBMD,WebMD Health Corp,36.84,1688360622,n/a,2005,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wbmd
WEBK,"Wellesley Bancorp, Inc.",17.79,43772117.1,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/webk
WEN,Wendy&#39;s Company (The),8.64,3398179193,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/wen
WERN,"Werner Enterprises, Inc.",23.49,1708189464,n/a,1986,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/wern
WSBC,"WesBanco, Inc.",30.31,887560001,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wsbc
