Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.82,1556314141,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,8.72,196846317.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",10.9899,103156663.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
